measurement,moment,fit_type,parameters,covariance,r2
Mass,hip_r_flx_moment,Exponential,[ 5.55205086e+01  2.11987827e-03 -5.55067890e+01],"[ 2.54770673e+10 -9.72053105e+05 -2.54770739e+10 -9.72053105e+05
  3.70877557e+01  9.72053354e+05 -2.54770739e+10  9.72053354e+05
  2.54770804e+10]",0.2891801618472569
Mass,hip_r_add_moment,Exponential,[-4.28517185e+01 -1.97186160e-03  4.28442144e+01],"[ 2.33326345e+10 -1.07442099e+06 -2.33326400e+10 -1.07442099e+06
  4.94749306e+01  1.07442124e+06 -2.33326400e+10  1.07442124e+06
  2.33326454e+10]",0.29281027157367634
Mass,hip_r_int_moment,Exponential,[-1.04362477e+01  4.76063636e-03  1.04854668e+01],"[ 3.62375125e+09  1.65331174e+06 -3.62375611e+09  1.65331174e+06
  7.54312196e+02 -1.65331396e+06 -3.62375611e+09 -1.65331396e+06
  3.62376096e+09]",0.04730624608919165
Mass,knee_r_flx_moment,Exponential,[ 0.85975015  0.23800018 -0.88644328],"[ 71.64268628 -18.34190294 -71.8741779  -18.34190294   4.69603448
  18.4011249  -71.8741779   18.4011249   72.10643046]",0.9068016972428378
Mass,ankle_r_flx_moment,Exponential,[ 3.69783558e+01  2.64042533e-03 -3.69706613e+01],"[ 3.72520620e+09 -2.65752143e+05 -3.72520776e+09 -2.65752143e+05
  1.89584679e+01  2.65752254e+05 -3.72520776e+09  2.65752254e+05
  3.72520932e+09]",0.5547563684938382
TotalLength,hip_r_flx_moment,Exponential,[2.09569804e-18 9.99999979e-01 1.00000000e+00],[inf inf inf inf inf inf inf inf inf],-2.1478423801798343e+159
TotalLength,hip_r_add_moment,Exponential,[2.09569804e-18 9.99999979e-01 1.00000000e+00],[inf inf inf inf inf inf inf inf inf],-3.6016653551127444e+159
TotalLength,hip_r_int_moment,Exponential,[2.09569804e-18 9.99999979e-01 1.00000000e+00],[inf inf inf inf inf inf inf inf inf],-1.6148306593311514e+159
TotalLength,knee_r_flx_moment,Exponential,[2.09569804e-18 9.99999979e-01 1.00000000e+00],[inf inf inf inf inf inf inf inf inf],-1.5233023474121684e+159
TotalLength,ankle_r_flx_moment,Exponential,[2.09569804e-18 9.99999979e-01 1.00000000e+00],[inf inf inf inf inf inf inf inf inf],-5.145733917366177e+159
RightTibiaLength,hip_r_flx_moment,Exponential,[5.19106953e-21 9.99999998e-01 3.97662141e-02],"[ 2.92767455e-38  1.32454877e-27 -4.38226898e-20  1.32454877e-27
  5.99274227e-17 -1.98228037e-09 -4.38226898e-20 -1.98228037e-09
  1.18562375e+02]",-41401567.34747859
RightTibiaLength,hip_r_add_moment,Exponential,[5.24157192e-21 9.99999998e-01 4.07763185e-03],"[ 2.98479378e-38  1.35039085e-27 -4.46776753e-20  1.35039085e-27
  6.10966129e-17 -2.02095488e-09 -4.46776753e-20 -2.02095488e-09
  1.20875541e+02]",-83150858.00252067
RightTibiaLength,hip_r_int_moment,Exponential,[5.23385355e-21 9.99999998e-01 2.09496109e-02],"[ 2.97649798e-38  1.34663764e-27 -4.45535002e-20  1.34663764e-27
  6.09268038e-17 -2.01533793e-09 -4.45535002e-20 -2.01533793e-09
  1.20539585e+02]",-38563247.01773664
RightTibiaLength,knee_r_flx_moment,Exponential,[5.19847740e-21 9.99999998e-01 2.70862360e-02],"[ 2.93555323e-38  1.32811327e-27 -4.39406213e-20  1.32811327e-27
  6.00886938e-17 -1.98761490e-09 -4.39406213e-20 -1.98761490e-09
  1.18881439e+02]",-36491622.357132405
RightTibiaLength,ankle_r_flx_moment,Exponential,[5.18012857e-21 9.99999998e-01 2.75652973e-02],"[ 2.91536225e-38  1.31897840e-27 -4.36383941e-20  1.31897840e-27
  5.96753987e-17 -1.97394392e-09 -4.36383941e-20 -1.97394392e-09
  1.18063763e+02]",-114880246.48528253
RightFemurLength,hip_r_flx_moment,Exponential,[-3.43397720e-14  1.00000000e+00  9.08244792e+00],"[ 4.44774227e-25  5.83622839e-20 -1.12415324e-10  5.83622839e-20
  7.65880349e-15 -1.47457765e-05 -1.12415324e-10 -1.47457765e-05
  2.82223168e+08]",-76661812871618.84
RightFemurLength,hip_r_add_moment,Exponential,[-3.43401016e-14  1.00000000e+00  9.05649193e+00],"[ 4.44782757e-25  5.83634031e-20 -1.12417480e-10  5.83634031e-20
  7.65895036e-15 -1.47460593e-05 -1.12417480e-10 -1.47460593e-05
  2.82228580e+08]",-151023949119843.72
RightFemurLength,hip_r_int_moment,Exponential,[-3.43400712e-14  1.00000000e+00  9.07073441e+00],"[ 4.44781925e-25  5.83632940e-20 -1.12417270e-10  5.83632940e-20
  7.65893604e-15 -1.47460317e-05 -1.12417270e-10 -1.47460317e-05
  2.82228052e+08]",-70236136575712.91
RightFemurLength,knee_r_flx_moment,Exponential,[-3.43397800e-14  1.00000000e+00  9.07090175e+00],"[ 4.44774480e-25  5.83623171e-20 -1.12415388e-10  5.83623171e-20
  7.65880785e-15 -1.47457849e-05 -1.12415388e-10 -1.47457849e-05
  2.82223328e+08]",-67388929899734.625
RightFemurLength,ankle_r_flx_moment,Exponential,[-3.43398998e-14  1.00000000e+00  9.07231866e+00],"[ 4.44777534e-25  5.83627179e-20 -1.12416160e-10  5.83627179e-20
  7.65886044e-15 -1.47458862e-05 -1.12416160e-10 -1.47458862e-05
  2.82225266e+08]",-213619628091367.25
RightFootLength,hip_r_flx_moment,Exponential,[ 3.34694764e+01  1.05607840e-04 -3.34832334e+01],"[ 1.62958749e+10 -5.13144772e+04 -1.62959083e+10 -5.13144772e+04
  1.61585408e-01  5.13145823e+04 -1.62959083e+10  5.13145823e+04
  1.62959417e+10]",0.20408844353589883
