measurement,moment,fit_type,parameters,covariance,r2
Mass,hip_r_flx_moment,Linear,[0.11778843 0.01370339],[ 0.00103336 -0.00031891 -0.00031891  0.00010022],0.2891944114550339
Mass,hip_r_add_moment,Linear,[ 0.08444648 -0.00749602],[ 5.21880113e-04 -1.61058165e-04 -1.61058165e-04  5.06153026e-05],0.29282365620730044
Mass,hip_r_int_moment,Linear,[-0.04977513  0.049236  ],[ 0.00151174 -0.00046654 -0.00046654  0.00014662],0.04731332631014351
Mass,knee_r_flx_moment,Linear,[ 0.22245949 -0.0297753 ],[ 1.54191918e-04 -4.75853876e-05 -4.75853876e-05  1.49545278e-05],0.9067670546855144
Mass,ankle_r_flx_moment,Linear,[0.09773143 0.00767845],[ 2.32288778e-04 -7.16869711e-05 -7.16869711e-05  2.25288656e-05],0.5547687620089707
TotalLength,hip_r_flx_moment,Linear,[ 0.00045328 -0.0376195 ],[ 1.98419214e-08 -3.84561237e-06 -3.84561237e-06  7.47154986e-04],0.2566013341783969
TotalLength,hip_r_add_moment,Linear,[ 0.00035787 -0.05061471],[ 1.16478811e-08 -2.25750495e-06 -2.25750495e-06  4.38605328e-04],0.26821088701914175
TotalLength,hip_r_int_moment,Linear,[-0.00029413  0.0912443 ],[ 3.26170026e-08 -6.32158281e-06 -6.32158281e-06  1.22820546e-03],0.08123021850319256
TotalLength,knee_r_flx_moment,Linear,[ 0.00095653 -0.14650782],[ 7.13556341e-09 -1.38296138e-06 -1.38296138e-06  2.68692316e-04],0.810394887456477
TotalLength,ankle_r_flx_moment,Linear,[ 0.00043986 -0.04752621],[ 4.69169088e-09 -9.09308341e-07 -9.09308341e-07  1.76667381e-04],0.5788736988303304
RightTibiaLength,hip_r_flx_moment,Linear,[ 0.00117433 -0.00103924],[ 2.59610576e-07 -1.12952861e-05 -1.12952861e-05  4.93627477e-04],0.13865133074004377
