Subject,Mass,TotalLength,RightTibiaLength,RightFemurLength,RightFootLength,RightWalkingSpeed,hip_r_flx_moment,hip_r_add_moment,hip_r_int_moment,knee_r_flx_moment,ankle_r_flx_moment
BAA01,0.283300012350082,180,41,31.5,17,0.504966974258423,-0.0405058617939953,-0.0167663400704688,-0.0480059711883079,0.0307392570889692,-0.0348600568322768
BAA02,0.277099996805191,190,43.5,31.5,16.5,0.405194652080536,-0.0422215089243985,-0.00985121927400788,-0.0706817967316456,0.0304052612658615,-0.0285701963616012
BAA03,0.269800007343292,185,42.7000007629395,30.2000007629395,17.7000007629395,0.52587978541851,-0.0263375953499925,-0.0135360954444133,-0.0444744342904458,-0.0321059204402592,-0.0296952003184596
BAA04,0.274899989366531,190,42,34,17.5,0.434213717778524,-0.044520586252259,-0.0250709563371276,-0.0447496064104464,-0.0299297390536791,-0.0305037303241534
BAA05,0.284500002861023,185,40,35,18.5,0.535874585310618,-0.0496703357633027,-0.0284155658617893,-0.0416155559673805,-0.0302554694893781,-0.0388580981431152
BAA06,0.310900002717972,190,42,38,19,0.362163220842679,-0.053695401686356,-0.0146288812762163,-0.0485314031672962,0.0354217562707419,-0.0373230793872068
BAA07,0.294299989938736,0,44,36,18.5,0.438698247075081,-0.0561760690140393,-0.0171001123068588,-0.0322045112291264,0.040965433949916,-0.0410203892220796
BAA08,0.306499987840652,185,43,37.5,18,0.372428293029467,-0.061215947385677,-0.0116673439043397,-0.0268217561645394,0.0352153397913339,-0.0377217300326803
BAA09,0.296099990606308,0,43.5,32.5,17,0.452994629740715,-0.0289276526634584,-0.0105740719059863,-0.030282888004165,0.0382802268719891,-0.0328048659630115
BAA10,0.261099994182587,180,40,35,17.7999992370605,0.303918691972892,-0.0403389047088622,-0.0178445622131832,-0.0240443656726365,0.0270032409262673,-0.0291176089950594
BAA11,0.263000011444092,190,41.5,35.5,17.5,0.390618478258451,-0.0464970332827245,-0.0246754341039242,-0.0332761425678557,0.0281365223627154,-0.0329473217587069
BAA12,0.305200010538101,195,44,38,17.5,0.400490229328473,-0.0469958158408064,-0.018541178448283,-0.0249533215654768,-0.0400710447699392,-0.0325786996861679
BAA13,0.303999990224838,190,42,36,18,0.460639521479607,-0.0577371700393849,-0.0235669057709588,-0.0301323815919718,-0.0364702021245695,-0.0389530784410939
BAA14,0.305000007152557,190,43,34,17,0.437704458832741,-0.0517826270209276,-0.0193097889874058,-0.0292067697910783,-0.0374760051721925,-0.0354901184301493
BAA15,0.297199994325638,190,43,35,17.5,0.452542106310527,-0.0481189921993985,-0.0178726545976801,-0.0355554960236674,0.0352976010821381,-0.03646485603333
BAA16,0.326299995183945,195,43,35.5,18,0.493807385365168,-0.0684581542202655,-0.0242778658224593,-0.0388735616121633,0.0435378303071129,-0.0439655478127129
