measurement,moment,fit_type,parameters,covariance,r2
Mass,hip_r_flx_moment,Power,[ 5.25720909e+01  7.95660040e-04 -5.24725505e+01],"[ 2.81345712e+10 -4.26170207e+05 -2.81345813e+10 -4.26170207e+05
  6.45544039e+00  4.26170361e+05 -2.81345813e+10  4.26170361e+05
  2.81345914e+10]",0.30800272475640433
Mass,hip_r_add_moment,Power,[1.89492444 5.75800173 0.01558915],"[7.56090176e+01 5.01884918e+01 3.63504252e-02 5.01884918e+01
 3.34129273e+01 2.44335553e-02 3.63504252e-02 2.44335553e-02
 1.93036032e-05]",0.3342649706876878
Mass,hip_r_int_moment,Power,[-1.20266621e+01  1.48769827e-03  1.20393784e+01],"[ 4.42384597e+09  5.48107691e+05 -4.42385149e+09  5.48107691e+05
  6.79096988e+01 -5.48108376e+05 -4.42385149e+09 -5.48108376e+05
  4.42385702e+09]",0.05155630630614216
Mass,knee_r_flx_moment,Power,[ 0.22409061  1.07894275 -0.0241948 ],"[0.00059534 0.01524658 0.00095348 0.01524658 0.53555269 0.03508656
 0.00095348 0.03508656 0.00231174]",0.9068010788929486
Mass,ankle_r_flx_moment,Power,[ 3.18026714e+01  1.06836248e-03 -3.17246426e+01],"[ 2.94663320e+09 -9.91019978e+04 -2.94663514e+09 -9.91019978e+04
  3.33302633e+00  9.91020629e+04 -2.94663514e+09  9.91020629e+04
  2.94663707e+09]",0.5658994257097799
TotalLength,hip_r_flx_moment,Power,[ 2.15395725e+01  4.17123379e-03 -2.19676822e+01],"[ 1.73738082e+09 -3.29708162e+05 -1.73780034e+09 -3.29708162e+05
  6.25697450e+01  3.29787775e+05 -1.73780034e+09  3.29787775e+05
  1.73821996e+09]",0.25992964604997815
TotalLength,hip_r_add_moment,Power,[9.45184982e-35 1.37352800e+01 1.54620696e-02],"[ 8.75740009e-65 -1.69740920e-31 -5.62520071e-35 -1.69740920e-31
  3.29004267e+02  1.08982987e-01 -5.62520071e-35  1.08982987e-01
  3.80294112e-05]",0.30008632791776846
TotalLength,hip_r_int_moment,Power,[-8.26333561e+00  6.98690809e-03  8.60725432e+00],"[ 5.06175888e+08  4.13672757e+05 -5.06515826e+08  4.13672757e+05
  3.38074497e+02 -4.13950571e+05 -5.06515826e+08 -4.13950571e+05
  5.06855993e+08]",0.08315034287868728
TotalLength,knee_r_flx_moment,Power,[5.34469198e-15 5.55404435e+00 1.08987848e-02],"[ 8.45377964e-27 -2.87052336e-13 -1.78251655e-15 -2.87052336e-13
  9.74724475e+00  6.04910089e-02 -1.78251655e-15  6.04910089e-02
  3.81679434e-04]",0.8268532893062138
TotalLength,ankle_r_flx_moment,Power,[ 0.00305134  0.70174726 -0.08517529],"[ 9.35276160e-03 -4.54855472e-01 -8.18572933e-02 -4.54855472e-01
  2.21216669e+01  3.98063025e+00 -8.18572933e-02  3.98063025e+00
  7.16664379e-01]",0.5789397809193659
RightTibiaLength,hip_r_flx_moment,Power,[5.00508036e-24 1.25050008e+01 4.76313997e-02],"[ 1.89782374e-43 -9.44548972e-21 -2.48591953e-24 -9.44548972e-21
  4.70113823e+02  1.23623928e-01 -2.48591953e-24  1.23623928e-01
  3.57116029e-05]",0.1559004908805085
RightTibiaLength,hip_r_add_moment,Power,[1.34120253e-92 5.24393061e+01 1.75080849e-02],"[ 6.06920167e-180 -1.14451808e-088 -2.90747255e-094 -1.14451808e-088
  2.15831385e+003  5.46525243e-003 -2.90747255e-094  5.46525243e-003
  9.88406041e-007]",0.3217452234882776
RightTibiaLength,hip_r_int_moment,Power,[-3.52056135e-05  1.62235409e+00  4.99415563e-02],"[ 1.29588826e-05  8.26720421e-02 -8.95872699e-04  8.26720421e-02
  5.27454551e+02 -5.71267891e+00 -8.95872699e-04 -5.71267891e+00
  6.20939759e-02]",0.03550147464179354
RightTibiaLength,knee_r_flx_moment,Power,[3.02191877e-11 5.35892569e+00 1.95269917e-02],"[ 8.42551687e-20 -6.85685786e-10 -3.24786904e-12 -6.85685786e-10
  5.58062577e+00  2.64042652e-02 -3.24786904e-12  2.64042652e-02
  1.27713602e-04]",0.8360682926205927
RightTibiaLength,ankle_r_flx_moment,Power,[7.48332749e-16 7.77786378e+00 3.30416774e-02],"[ 4.47756656e-28 -1.48446043e-13 -1.28471946e-16 -1.48446043e-13
  4.92171514e+01  4.25485049e-02 -1.28471946e-16  4.25485049e-02
  3.81892741e-05]",0.4478950540622305
RightFemurLength,hip_r_flx_moment,Power,[ 7.22541712e+01  1.02982848e-03 -7.24706186e+01],"[ 1.19257030e+10 -1.69353113e+05 -1.19257833e+10 -1.69353113e+05
  2.40492971e+00  1.69354254e+05 -1.19257833e+10  1.69354254e+05
  1.19258637e+10]",0.4123503575250357
